submission_date,genero,edad,donde_vivis,opinion_cuarentena,home_office,act_original,opinion_circulacion,circulacion_abierta,submitter,filepath,act_limpia,circ_limpia,Profesion
28/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Más de 66 años,rio negro,La cuarentena ya no es nada necesaria,No trabajo ni estudio,jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,,jubilado
28/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,esta bien,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,"['esta', 'bien']",
28/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",bailo folclore,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,debe ser estrictamente controlada,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['bailo', 'folclore']","['debe', 'ser', 'estrictamente', 'controlada']",bailarin
28/06/2020,Hombre,Entre 56 y 65 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Entre 56 y 65 años,cordoba,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",permisionario de taxi,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,se podria hacer pero en cada entrada disponer de un hotel y poner el ingresante en cuarentena,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['permisionario', 'de', 'taxi']","['se', 'podría', 'hacer', 'pero', 'en', 'cada', 'entrada', 'disponer', 'de', 'un', 'hotel', 'y', 'poner', 'el', 'ingresante', 'en', 'cuarentena']",empleado publico
28/06/2020,Hombre,Más de 66 años,mendoza,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,soy jubilado.municipal quenuma,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,no esto de acuerdo,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['no', 'esto', 'de', 'acuerdo']",jubilado
28/06/2020,Hombre,Entre 56 y 65 años,mendoza,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"la circulacion solo entre provincias limitrofes , exceptuando al amba (considerandola como una provincia)  hasta tanto no disminuya en forma considerable los contagios.",,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,"['la', 'circulación', 'solo', 'entre', 'provincias', 'limítrofes', 'exceptuando', 'al', 'amba', 'considerándola', 'como', 'una', 'provincia', 'hasta', 'tanto', 'no', 'disminuya', 'en', 'forma', 'considerable', 'los', 'contagios']",
28/06/2020,Hombre,Más de 66 años,santa fe,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",comerciante,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,estoy de acuerdo.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,comerciante,"['estoy', 'de', 'acuerdo']",comerciante
